,City & State,Edu Total Pop,Less Than High School Grad,High School Grad,Some College or Associates,Bachelor's Degree or Higher
0,"Atlanta city, Georgia",258046,23374,46860,57206,130606
1,"Seattle city, Washington",413133,21214,38922,93974,259023
2,"Orlando city, Florida",153051,13306,35951,47965,55829
3,"New York city, New York",4752442,778896,1092575,1037451,1843520
4,"Carson city, California",48771,8577,10814,16800,12580
5,"Newark city, New Jersey",152531,36047,55367,38992,22125
6,"Portland city, Oregon",381246,29657,56281,109969,185339
7,"Minneapolis city, Minnesota",232168,23886,36065,58364,113853
8,"San Jose city, California",564344,87769,94749,143961,237865
9,"Kansas City city, Kansas",76939,17076,24198,22884,12781
10,"Foxborough CDP, Massachusetts",2749,226,432,959,1132
11,"Sandy city, Utah",49085,2227,8781,17880,20197
12,"Washington city, District of Columbia",387831,33222,65727,62631,226251
13,"Houston city, Texas",1221334,272136,277238,289811,382149
14,"Bridgeview village, Illinois",8786,1403,3409,2455,1519
15,"Chester city, Pennsylvania",16230,2918,7480,4142,1690
16,"Columbus city, Ohio",466981,47842,112993,135673,170473
17,"Commerce City city, Colorado",26715,4727,7621,8209,6158
18,"Frisco city, Texas",80030,2811,7543,20353,49323
