,City & State,Total Population,White,Black/Afro-American,Latino,Asian
0,"Atlanta city, Georgia",456378,182794,239005,21838,18235
1,"Seattle city, Washington",668849,462673,47493,43868,94619
2,"Orlando city, Florida",263306,160607,69572,77009,10109
3,"New York city, New York",8461961,3644982,2064927,2457945,1159883
4,"Carson city, California",92780,27282,19830,37011,23963
5,"Newark city, New Jersey",280139,68226,140750,100950,4914
6,"Portland city, Oregon",620589,482410,35465,60040,47045
7,"Minneapolis city, Minnesota",404670,262130,76070,38832,23911
8,"San Jose city, California",1009363,425883,31096,329135,344188
9,"Kansas City city, Kansas",149755,88953,37530,43727,5786
10,"Foxborough CDP, Massachusetts",5491,4975,400,225,114
11,"Sandy city, Utah",93141,83923,609,8021,2949
12,"Washington city, District of Columbia",659009,266035,318598,69106,24036
13,"Houston city, Texas",2240582,1305482,511398,992886,149265
14,"Bridgeview village, Illinois",16381,14061,647,2783,849
15,"Chester city, Pennsylvania",34056,6864,24268,4056,200
16,"Columbus city, Ohio",837038,511628,234021,48331,41204
17,"Commerce City city, Colorado",51731,43617,1640,23598,992
18,"Frisco city, Texas",145646,103681,11025,17324,22140
