,City & State,Year,Total Households,Less Than 10k,10k to 19k,20k to 34k,35k to 49k,50k to 74k,75k to 99k,100k or More,Team
0,"Atlanta city, Georgia",2012,82411,3927,5767,8848,8415,12978,9297,33179,Atlanta United FC
1,"Seattle city, Washington",2012,135156,3116,4740,9032,10904,21507,19591,66266,Seattle Sounders
2,"Orlando city, Florida",2012,39155,1592,3130,5172,5452,8160,4956,10693,Orlando City
3,"New York city, New York",2012,990609,32020,55634,99465,94989,159436,137947,411118,New York City FC
4,"Carson city, California",2012,18831,436,975,1756,1990,3318,3627,6729,Los Angeles Galaxy
5,"Newark city, New Jersey",2012,21652,851,1690,2796,2643,4780,3071,5821,New York Red Bulls
6,"Portland city, Oregon",2012,133777,3948,7286,13251,15980,26782,20941,45589,Portland Timbers
7,"Minneapolis city, Minnesota",2012,83163,2419,4179,8173,9708,16267,13284,29133,Minnesota United FC
8,"San Jose city, California",2012,178328,3451,5992,10920,13542,24284,23536,96603,San Jose Earthquakes
9,"Kansas City city, Kansas",2012,32123,1880,2936,5906,5109,7287,4232,4773,Sporting Kansas City
10,"Foxborough CDP, Massachusetts",2012,1091,14,46,131,83,247,120,450,New England Revolution
11,"Sandy city, Utah",2012,22811,485,802,1725,2098,4476,4125,9100,Real Salt Lake
12,"Washington city, District of Columbia",2012,110853,3516,4260,7027,9060,14963,13128,58899,D.C. United
13,"Houston city, Texas",2012,355220,14801,28165,46273,45201,62002,45861,112917,Houston Dynamo
14,"Bridgeview village, Illinois",2012,4026,193,358,577,553,972,603,770,Chicago Fire
15,"Chester city, Pennsylvania",2012,4594,375,513,949,858,898,474,527,Philadelphia Union
16,"Columbus city, Ohio",2012,154295,4858,9415,18948,22896,34642,26119,37417,Columbus Crew
17,"Commerce City city, Colorado",2012,10288,84,456,990,1181,2347,2324,2906,Colorado Rapids
18,"Frisco city, Texas",2012,30680,373,422,1201,1815,2845,4231,19793,FC Dallas
19,"Atlanta city, Georgia",2013,81539,4148,5676,8552,7963,12499,9634,33067,Atlanta United FC
20,"Seattle city, Washington",2013,134924,2809,4693,9280,10801,20526,19015,67800,Seattle Sounders
21,"Orlando city, Florida",2013,39341,1512,3384,5114,5203,8223,4763,11142,Orlando City
22,"New York city, New York",2013,989708,33073,54983,97622,95105,155734,135543,417648,New York City FC
23,"Carson city, California",2013,18916,461,1043,1649,2003,3288,3685,6787,Los Angeles Galaxy
24,"Newark city, New Jersey",2013,21002,787,1479,2958,2682,4400,3015,5681,New York Red Bulls
25,"Portland city, Oregon",2013,133467,3874,7020,12811,15783,25447,21215,47317,Portland Timbers
26,"Minneapolis city, Minnesota",2013,81456,2160,4054,7881,9589,14927,13340,29505,Minnesota United FC
27,"San Jose city, California",2013,177997,3612,6332,10954,13202,23510,23459,96928,San Jose Earthquakes
28,"Kansas City city, Kansas",2013,31529,1757,2806,5881,5138,7158,4285,4504,Sporting Kansas City
29,"Foxborough CDP, Massachusetts",2013,1014,12,63,104,66,249,144,376,New England Revolution
30,"Sandy city, Utah",2013,22540,361,806,1783,2035,4478,3950,9127,Real Salt Lake
31,"Washington city, District of Columbia",2013,111070,3695,4110,7153,8184,15027,12916,59985,D.C. United
32,"Houston city, Texas",2013,354667,15012,28470,46735,43814,60594,44595,115447,Houston Dynamo
33,"Bridgeview village, Illinois",2013,3974,155,325,507,560,1022,706,699,Chicago Fire
34,"Chester city, Pennsylvania",2013,4546,398,501,861,784,980,446,576,Philadelphia Union
35,"Columbus city, Ohio",2013,152857,5032,9408,19478,22001,33162,24997,38779,Columbus Crew
36,"Commerce City city, Colorado",2013,10616,99,454,976,1182,2462,2424,3019,Colorado Rapids
37,"Frisco city, Texas",2013,31394,368,493,1314,1728,3036,3886,20569,FC Dallas
38,"Atlanta city, Georgia",2014,80124,3881,5278,8616,8233,12201,9098,32817,Atlanta United FC
39,"Seattle city, Washington",2014,134357,3034,4400,8654,10796,19392,18161,69920,Seattle Sounders
40,"Orlando city, Florida",2014,38366,1753,3284,5287,4706,7761,4922,10653,Orlando City
41,"New York city, New York",2014,988803,34299,54428,94100,94389,154043,134593,422951,New York City FC
42,"Carson city, California",2014,18478,490,1121,1697,1845,3333,3080,6912,Los Angeles Galaxy
43,"Newark city, New Jersey",2014,20420,823,1361,2813,2653,4318,3040,5412,New York Red Bulls
44,"Portland city, Oregon",2014,133065,4084,6840,12627,15955,24560,20593,48406,Portland Timbers
45,"Minneapolis city, Minnesota",2014,81122,1979,3860,7779,9524,14327,12846,30807,Minnesota United FC
46,"San Jose city, California",2014,178348,3353,6025,11437,12698,23096,22095,99644,San Jose Earthquakes
47,"Kansas City city, Kansas",2014,31487,1771,2897,5616,5131,7057,4273,4742,Sporting Kansas City
48,"Foxborough CDP, Massachusetts",2014,1002,12,50,77,55,217,166,425,New England Revolution
49,"Sandy city, Utah",2014,21929,350,720,1698,1887,4338,3649,9287,Real Salt Lake
50,"Washington city, District of Columbia",2014,111198,3833,4096,6698,7839,14531,12661,61540,D.C. United
51,"Houston city, Texas",2014,353069,15032,27290,45064,42809,60546,43581,118747,Houston Dynamo
52,"Bridgeview village, Illinois",2014,3977,127,353,611,533,1016,634,703,Chicago Fire
53,"Chester city, Pennsylvania",2014,4796,465,508,947,839,1119,461,457,Philadelphia Union
54,"Columbus city, Ohio",2014,151621,4811,8830,18329,21791,32749,24646,40465,Columbus Crew
55,"Commerce City city, Colorado",2014,10482,100,572,889,1066,2365,2251,3239,Colorado Rapids
56,"Frisco city, Texas",2014,32546,286,522,1165,1924,2943,3416,22290,FC Dallas
57,"Atlanta city, Georgia",2015,80984,3733,5073,8697,8240,12328,9102,33811,Atlanta United FC
58,"Seattle city, Washington",2015,136823,3147,4418,8848,10580,18859,17777,73194,Seattle Sounders
59,"Orlando city, Florida",2015,38158,2043,3223,5185,4506,7577,4899,10725,Orlando City
60,"New York city, New York",2015,991350,34816,54904,93538,91764,153705,134011,428612,New York City FC
61,"Carson city, California",2015,19110,467,983,1942,1839,3458,3206,7215,Los Angeles Galaxy
62,"Newark city, New Jersey",2015,20086,736,1367,2779,2783,4168,3021,5232,New York Red Bulls
63,"Portland city, Oregon",2015,134535,4317,6958,12410,15522,24106,21128,50094,Portland Timbers
64,"Minneapolis city, Minnesota",2015,80921,2135,3671,7794,8976,14433,12349,31563,Minnesota United FC
65,"San Jose city, California",2015,179809,3500,6110,11470,12842,23055,21607,101225,San Jose Earthquakes
66,"Kansas City city, Kansas",2015,31602,1630,2915,5857,5361,6938,4199,4702,Sporting Kansas City
67,"Foxborough CDP, Massachusetts",2015,969,0,45,50,76,239,170,389,New England Revolution
68,"Sandy city, Utah",2015,22284,303,624,1554,1928,4634,3758,9483,Real Salt Lake
69,"Washington city, District of Columbia",2015,112750,3517,3906,6799,7665,14091,12917,63855,D.C. United
70,"Houston city, Texas",2015,355867,14896,26508,44350,41850,60751,43827,123685,Houston Dynamo
71,"Bridgeview village, Illinois",2015,4017,107,344,651,556,1032,635,692,Chicago Fire
72,"Chester city, Pennsylvania",2015,4459,416,489,905,799,1040,389,421,Philadelphia Union
73,"Columbus city, Ohio",2015,151961,4845,8569,18112,22086,32630,24551,41168,Columbus Crew
74,"Commerce City city, Colorado",2015,10455,139,452,887,1232,2128,2214,3403,Colorado Rapids
75,"Frisco city, Texas",2015,34039,346,457,1177,1852,2862,3821,23524,FC Dallas
76,"Atlanta city, Georgia",2016,81417,3349,5046,8118,8149,12465,8653,35637,Atlanta United FC
77,"Seattle city, Washington",2016,140436,3436,4381,8490,10041,18831,17223,78034,Seattle Sounders
78,"Orlando city, Florida",2016,38542,1965,3087,4812,4629,7311,4977,11761,Orlando City
79,"New York city, New York",2016,1000242,35762,52923,92109,90589,152194,132604,444061,New York City FC
80,"Carson city, California",2016,18979,451,934,1820,1876,3413,3067,7418,Los Angeles Galaxy
81,"Newark city, New Jersey",2016,20502,823,1481,2628,2832,4061,3221,5456,New York Red Bulls
82,"Portland city, Oregon",2016,136114,4132,6404,11586,14229,23719,21121,54923,Portland Timbers
83,"Minneapolis city, Minnesota",2016,80520,2291,3638,7678,8240,13799,12213,32661,Minnesota United FC
84,"San Jose city, California",2016,181122,3623,5836,10736,12344,21927,20422,106234,San Jose Earthquakes
85,"Kansas City city, Kansas",2016,30796,1443,2705,5612,5225,6530,4210,5071,Sporting Kansas City
86,"Foxborough CDP, Massachusetts",2016,990,0,36,64,109,206,166,409,New England Revolution
87,"Sandy city, Utah",2016,23020,354,591,1422,1876,4360,3737,10680,Real Salt Lake
88,"Washington city, District of Columbia",2016,112672,3783,3892,6207,7126,13328,12490,65846,D.C. United
89,"Houston city, Texas",2016,359118,14266,26017,43692,41572,61233,43856,128482,Houston Dynamo
90,"Bridgeview village, Illinois",2016,4009,158,316,657,540,967,588,783,Chicago Fire
91,"Chester city, Pennsylvania",2016,4331,399,504,854,793,914,464,403,Philadelphia Union
