Team,Year,Attendance,Pos,Pts,Age % 18 to 29,Age % 30 to 44,White Percentage,Black Percentage,Latino Percentage,Asian Percentage,less than 34k Percentage,34k to 99k Percentage,100k or more Percentage
Chicago Fire,2012,16409.0,11,43,15.767963889227765,18.152982798584848,84.22593631816518,3.159692570452605,16.82322801024765,6.416981822618031,28.017883755588674,52.856433184302034,19.12568306010929
Chicago Fire,2013,15228.0,6,57,15.950659293917482,17.45761681959045,85.04587713435012,2.910615543537704,16.959348605456643,5.462721030564501,24.836436839456468,57.57423251132361,17.58933064921993
Chicago Fire,2014,16076.0,12,49,13.818731117824774,18.83383685800604,86.36858006042296,2.24773413897281,17.09365558912387,4.549848942598187,27.432738244908222,54.89062107115916,17.67664068393261
Chicago Fire,2015,16003.0,15,36,13.86392811296534,19.15765022311877,86.47839109970047,2.1211565499113636,16.730851519041508,4.51739103857204,27.433408015932287,55.33980582524271,17.226786158824993
Chicago Fire,2016,15602.0,20,30,13.88804102313656,20.18802270923631,85.8372504731091,3.94969782064587,16.989194798852328,5.182833770832061,28.21152407084061,52.25742080319281,19.531055125966574
Chicago Fire,2017,17383.0,20,31,13.88804102313656,20.18802270923631,85.8372504731091,3.94969782064587,16.989194798852328,5.182833770832061,28.21152407084061,52.25742080319281,19.531055125966574
Colorado Rapids,2012,15175.0,7,49,17.041087467334258,25.34861760765971,74.15288666359224,3.3884533456310253,46.775149878121084,2.4595383973472122,14.871695178849146,56.881804043545884,28.24650077760498
Colorado Rapids,2013,15440.0,14,37,15.267046296492303,25.578441541946273,76.21456847096678,3.2663688901119836,45.56192976142594,2.859925061919177,14.402788244159758,57.159005275056515,28.438206480783723
Colorado Rapids,2014,15082.0,8,51,14.71757665191015,25.530824725364816,79.95777996392852,3.289473684210526,45.5361534677816,2.6869158878504673,14.892196145773706,54.20721236405266,30.90059149017363
Colorado Rapids,2015,15657.0,17,32,14.281174274023755,25.050649505422477,83.04929885194454,4.306201088467803,45.59448615580185,1.9008461446788225,14.136776661884266,53.31420373027259,32.549019607843135
Colorado Rapids,2016,16278.0,19,37,14.237111209912817,25.11066865129226,84.31501420811506,3.170246080686629,45.61674817807504,1.917612263439717,12.812974203338392,54.72306525037936,32.463960546282244
Colorado Rapids,2017,15322.0,2,58,14.237111209912817,25.11066865129226,84.31501420811506,3.170246080686629,45.61674817807504,1.917612263439717,12.812974203338392,54.72306525037936,32.463960546282244
Columbus Crew,2012,14397.0,9,47,23.960727338996264,22.216414737119194,62.591626084579474,27.652473904283646,5.44099482641666,4.23922507618633,21.530833792410643,54.21886645711138,24.25029975047798
Columbus Crew,2013,16080.0,10,52,23.642570391484323,22.311308853176516,62.21980179716561,27.700432428921523,5.597343972100715,4.222364894066156,22.189366532118253,52.441170505766834,25.36946296211492
Columbus Crew,2014,16881.0,16,41,23.50066445550981,22.32841467935557,61.71307591789079,27.78815754307876,5.6974442787239985,4.474328862986687,21.085469690873957,52.226274724477484,26.688255584648562
Columbus Crew,2015,16985.0,7,52,23.51700027768919,22.320996576783486,61.50597274280525,27.77037408007877,5.700146605340606,4.606366479398251,20.746112489388725,52.1627259625825,27.09116154802877
Columbus Crew,2016,17125.0,4,53,23.406942098208205,22.22658947383512,61.12362879582528,27.958228897612774,5.774050879410493,4.922596106747842,19.856700181739733,51.931801838317014,28.211497979943257
Columbus Crew,2017,15439.0,18,36,23.406942098208205,22.22658947383512,61.12362879582528,27.958228897612774,5.774050879410493,4.922596106747842,19.856700181739733,51.931801838317014,28.211497979943257
D.C. United,2012,13846.0,13,39,25.35150117455952,22.89772005038307,39.522813528152284,51.05380192452774,9.287356853137965,3.5393613631823877,13.353720693170235,33.513752446934234,53.132526859895535
