team name,average polarity score,number of tweets,from,to,hash tag
Atlanta United FC,0.1604668,500,Mon Jul 23 11:23:58 +0000 2018,Tue Jul 24 18:25:03 +0000 2018,['#ATLUTD']
Seattle Sounders,0.19155,500,Wed Jul 18 16:02:31 +0000 2018,Tue Jul 24 18:01:26 +0000 2018,['#Sounders']
Toronto FC,0.07381739999999999,500,Mon Jul 23 08:39:18 +0000 2018,Tue Jul 24 18:19:42 +0000 2018,['#TFC']
Orlando City,-0.084376,500,Sun Jul 22 02:39:41 +0000 2018,Tue Jul 24 18:18:15 +0000 2018,['#OCSC']
New York City FC,0.3423704,500,Mon Jul 23 16:59:18 +0000 2018,Tue Jul 24 18:28:12 +0000 2018,['#NYCFC']
Los Angeles Galaxy,0.11253979999999998,500,Sun Jul 22 14:04:43 +0000 2018,Tue Jul 24 18:27:26 +0000 2018,['#LAGalaxy']
Vancouver Whitecaps,0.15451420000000002,500,Sun Jul 22 04:45:50 +0000 2018,Tue Jul 24 18:29:04 +0000 2018,['#VWFC']
New York Red Bulls,0.0802844,500,Mon Jul 23 00:22:29 +0000 2018,Tue Jul 24 18:27:59 +0000 2018,['#RBNY']
Portland Timbers,0.117219315403423,409,Sat Jul 14 14:26:35 +0000 2018,Tue Jul 24 18:02:11 +0000 2018,['#PTFC']
Minnesota United FC,0.27020540000000004,500,Mon Jul 23 03:28:09 +0000 2018,Tue Jul 24 18:27:46 +0000 2018,['#MNUFC']
Impact de Montréal,0.051845999999999996,500,Mon Jul 23 20:40:38 +0000 2018,Tue Jul 24 18:18:33 +0000 2018,['#IMFC']
San Jose Earthquakes,0.4653755020080321,498,Sun Jul 22 06:24:46 +0000 2018,Tue Jul 24 18:10:19 +0000 2018,['#Quakes74']
Sporting Kansas City,0.12767699999999998,500,Tue Jul 17 21:09:18 +0000 2018,Tue Jul 24 17:57:19 +0000 2018,['#SportingKC']
New England Revolution,0.1323574,500,Sun Jul 22 19:35:18 +0000 2018,Tue Jul 24 18:25:25 +0000 2018,['#NERevs']
Real Salt Lake,-0.0030931106471816325,479,Sun Jul 22 01:04:21 +0000 2018,Tue Jul 24 18:27:36 +0000 2018,['#RSL']
D.C. United,-0.2435116,500,Tue Jul 24 03:46:49 +0000 2018,Tue Jul 24 18:30:23 +0000 2018,['#DCU']
Houston Dynamo,0.07445691868758916,701,Sat Jul 21 19:38:02 +0000 2018,Tue Jul 24 18:30:38 +0000 2018,"['#HoustonDynamo', '#foreverorange']"
Chicago Fire,0.09505079999999999,500,Mon Jul 23 06:10:53 +0000 2018,Tue Jul 24 18:25:54 +0000 2018,['#cf97']
Philadelphia Union,0.08782548076923077,624,Sat Jul 14 15:00:42 +0000 2018,Tue Jul 24 12:52:51 +0000 2018,"['#DOOP', '#PhiladelphiaUnion']"
Columbus Crew,0.15647153333333336,1500,Fri Jul 20 15:46:06 +0000 2018,Tue Jul 24 18:30:11 +0000 2018,"['#SaveTheCrew', '#CrewSC', '#Crew96']"
Colorado Rapids,0.11174500000000001,500,Sun Jul 22 02:54:03 +0000 2018,Tue Jul 24 18:19:33 +0000 2018,['#Rapids96']
FC Dallas,0.09868484210526317,475,Fri Jul 20 21:49:12 +0000 2018,Tue Jul 24 18:26:25 +0000 2018,['#FCDallas']
